Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA
Date,,,,,,,,,,,,,,
2019-10-17,56.85426712036133,4.833404541015625,0.0,0.0,57.06449720809771,4.920972344673671,56.42897300976469,4.778922884566569,56.80835395471495,4.875944550993218,0.0,0.0,67585200,263436000
2019-10-18,57.12733459472656,4.738872051239014,0.0,0.0,57.410058996558924,4.866492593180883,56.61504433536088,4.664489052295337,56.687538622623364,4.833903233939169,0.0,0.0,97433600,307440000
2019-10-21,58.11808395385742,4.876194477081299,0.0,0.0,58.234076301116815,4.889628417731639,57.34723888660262,4.78141193326002,57.39556718768752,4.800318714806836,0.0,0.0,87247200,261868000
2019-10-22,57.98518371582031,4.866243362426758,0.0,0.0,58.526466603083925,5.038393943562247,57.90302154567798,4.858531373972304,58.27515721788484,4.933162999890427,0.0,0.0,82293600,328720000
2019-10-23,58.763267517089844,4.85330867767334,0.0,0.0,58.77776932377022,4.867488529675018,58.28964507414683,4.752306888189692,58.50229399224266,4.784149870654579,0.0,0.0,75828800,279916000
2019-10-24,58.85992431640625,4.897340774536133,0.0,0.0,59.15473168555274,4.9309246796903645,58.43221138129828,4.860522227523747,59.084652529312926,4.894603879386092,0.0,0.0,69275200,232020000
2019-10-25,59.58485794067383,5.088397979736328,0.0,0.0,59.621103236105824,5.109294799770854,58.69077167696705,4.970230827807668,58.758432019914885,4.977942817272271,0.0,0.0,73477200,423092000
2019-10-28,60.181724548339844,5.144372940063477,0.0,0.0,60.23005284025767,5.196863636412331,59.618690913827024,5.102827453548646,59.787841779145566,5.132182651519414,0.0,0.0,96572800,330792000
2019-10-29,58.78985595703125,5.048097133636475,0.0,0.0,60.35088548833238,5.136909102127047,58.615874814526016,5.028693077241768,60.162402537339844,5.130440766997869,0.0,0.0,142839600,211236000
2019-10-30,58.7825927734375,5.05008602142334,0.0,0.0,59.27555090160644,5.080685339264262,58.28722320858612,4.981922254452158,59.145060467062635,5.0749633882990635,0.0,0.0,124522000,205960000
